agent,params,total_mean,total_std,step_mean,last50_mean
epsilon_greedy,eps=0.01,119.2,26.846973758693924,0.2648888888888889,0.282
epsilon_greedy,eps=0.02,117.58,27.860430721724317,0.2612888888888889,0.2808
epsilon_greedy,eps=0.03,121.62,24.089740554850316,0.27026666666666666,0.2844
epsilon_greedy,eps=0.05,123.64,20.758381439794388,0.27475555555555553,0.292
epsilon_greedy,eps=0.07,122.48,21.246402048346916,0.2721777777777778,0.29
epsilon_greedy,eps=0.1,125.86,14.81217067144448,0.2796888888888889,0.2912
epsilon_greedy,eps=0.15,126.6,14.19718281913704,0.2813333333333333,0.2948
epsilon_greedy,eps=0.2,125.86,13.233306465128056,0.2796888888888889,0.294
epsilon_greedy,eps=0.3,124.24,12.546808359100732,0.2760888888888889,0.286
epsilon_greedy,eps=0.5,121.62,10.90117424867615,0.27026666666666666,0.2716
epsilon_greedy,ctx_eps=0.01,122.58,37.456689656188246,0.2724,0.2908
epsilon_greedy,ctx_eps=0.02,128.08,32.44678104219277,0.2846222222222222,0.3148
epsilon_greedy,ctx_eps=0.03,131.16,29.0498605848634,0.29146666666666665,0.32
epsilon_greedy,ctx_eps=0.05,134.32,24.65882397844634,0.2984888888888889,0.3212
epsilon_greedy,ctx_eps=0.07,135.26,22.74801969403051,0.3005777777777778,0.326
epsilon_greedy,ctx_eps=0.1,136.56,17.9489944008014,0.30346666666666666,0.3336
epsilon_greedy,ctx_eps=0.15,135.68,19.744811976820646,0.3015111111111111,0.332
epsilon_greedy,ctx_eps=0.2,137.18,14.34111571670768,0.3048444444444444,0.3304
epsilon_greedy,ctx_eps=0.3,133.34,14.370260957964542,0.29631111111111114,0.3116
epsilon_greedy,ctx_eps=0.5,128.26,13.360853266165302,0.28502222222222223,0.2936
decaying_epsilon_greedy,"eps_start=0.1,decay=25",118.76,28.49951578536028,0.2639111111111111,0.276
decaying_epsilon_greedy,"eps_start=0.1,decay=50",116.42,30.749367473169265,0.2587111111111111,0.268
decaying_epsilon_greedy,"eps_start=0.1,decay=75",118.64,28.853949469699984,0.26364444444444446,0.2732
decaying_epsilon_greedy,"eps_start=0.1,decay=100",120.6,26.421960563137624,0.268,0.2812
decaying_epsilon_greedy,"eps_start=0.1,decay=150",123.5,22.692069099136816,0.27444444444444444,0.2864
decaying_epsilon_greedy,"eps_start=0.1,decay=200",124.74,20.86126554166837,0.2772,0.29
decaying_epsilon_greedy,"eps_start=0.1,decay=250",125.78,19.888981874394673,0.2795111111111111,0.2932
decaying_epsilon_greedy,"eps_start=0.1,decay=300",125.42,19.84448538007474,0.27871111111111113,0.2888
decaying_epsilon_greedy,"eps_start=0.1,decay=400",126.68,17.43610048147234,0.2815111111111111,0.2976
decaying_epsilon_greedy,"eps_start=0.1,decay=500",127.18,15.81605513394538,0.2826222222222222,0.2976
decaying_epsilon_greedy,"eps_start=0.1,decay=600",128.06,13.591776925773907,0.28457777777777776,0.302
