step,day,step_of_day,state,action,reward
0,0,0,sedentary,nudge,0.0
1,0,1,sedentary,idle,0.0
2,0,2,sedentary,nudge,0.0
3,0,3,sedentary,nudge,0.0
4,0,4,sedentary,nudge,1.0
5,1,0,active,nudge,0.0
6,1,1,sedentary,idle,0.0
7,1,2,sedentary,nudge,0.0
8,1,3,sedentary,idle,0.0
9,1,4,sedentary,nudge,0.0
10,2,0,sedentary,nudge,0.0
11,2,1,sedentary,nudge,0.0
12,2,2,sedentary,idle,0.0
13,2,3,sedentary,idle,0.0
14,2,4,sedentary,nudge,0.0
15,3,0,sedentary,nudge,1.0
16,3,1,active,nudge,0.0
17,3,2,sedentary,nudge,1.0
18,3,3,active,nudge,0.0
19,3,4,sedentary,idle,0.0
20,4,0,sedentary,nudge,0.0
21,4,1,sedentary,nudge,0.0
22,4,2,sedentary,idle,0.0
23,4,3,sedentary,nudge,0.0
24,4,4,sedentary,idle,0.0
25,5,0,sedentary,nudge,1.0
26,5,1,active,nudge,1.0
27,5,2,active,nudge,1.0
28,5,3,active,nudge,1.0
29,5,4,active,nudge,0.0
30,6,0,sedentary,nudge,0.0
31,6,1,sedentary,nudge,0.0
32,6,2,sedentary,nudge,0.0
33,6,3,sedentary,nudge,0.0
34,6,4,sedentary,nudge,0.0
35,7,0,sedentary,nudge,1.0
36,7,1,active,nudge,1.0
37,7,2,active,nudge,1.0
38,7,3,active,nudge,1.0
39,7,4,active,nudge,0.0
40,8,0,sedentary,nudge,0.0
41,8,1,sedentary,nudge,0.0
42,8,2,sedentary,nudge,0.0
43,8,3,sedentary,nudge,0.0
44,8,4,sedentary,nudge,0.0
45,9,0,sedentary,nudge,0.0
46,9,1,sedentary,nudge,0.0
47,9,2,sedentary,nudge,1.0
48,9,3,active,nudge,0.0
49,9,4,sedentary,nudge,1.0
50,10,0,active,nudge,1.0
51,10,1,active,idle,1.0
52,10,2,active,nudge,0.0
53,10,3,sedentary,nudge,0.0
54,10,4,sedentary,nudge,0.0
55,11,0,sedentary,nudge,0.0
56,11,1,sedentary,nudge,0.0
57,11,2,sedentary,idle,0.0
58,11,3,sedentary,nudge,1.0
59,11,4,active,nudge,1.0
60,12,0,active,nudge,0.0
61,12,1,sedentary,nudge,0.0
62,12,2,sedentary,nudge,0.0
63,12,3,sedentary,nudge,0.0
64,12,4,sedentary,nudge,0.0
65,13,0,sedentary,nudge,0.0
66,13,1,sedentary,nudge,0.0
67,13,2,sedentary,nudge,0.0
68,13,3,sedentary,nudge,1.0
69,13,4,active,nudge,1.0
70,14,0,active,nudge,1.0
71,14,1,active,nudge,1.0
72,14,2,active,nudge,0.0
73,14,3,sedentary,nudge,1.0
74,14,4,active,nudge,1.0
75,15,0,active,idle,1.0
76,15,1,active,nudge,1.0
77,15,2,active,idle,0.0
78,15,3,sedentary,nudge,0.0
79,15,4,sedentary,nudge,0.0
80,16,0,sedentary,nudge,0.0
81,16,1,sedentary,nudge,0.0
82,16,2,sedentary,nudge,0.0
83,16,3,sedentary,nudge,1.0
84,16,4,active,nudge,1.0
85,17,0,active,nudge,1.0
86,17,1,active,nudge,0.0
87,17,2,sedentary,nudge,0.0
88,17,3,sedentary,nudge,1.0
89,17,4,active,idle,1.0
90,18,0,active,nudge,1.0
91,18,1,active,nudge,0.0
92,18,2,sedentary,nudge,0.0
93,18,3,sedentary,idle,0.0
94,18,4,sedentary,idle,0.0
95,19,0,sedentary,nudge,0.0
96,19,1,sedentary,nudge,0.0
97,19,2,sedentary,idle,1.0
98,19,3,active,idle,1.0
99,19,4,active,nudge,0.0
100,20,0,sedentary,nudge,0.0
101,20,1,sedentary,idle,0.0
102,20,2,sedentary,idle,0.0
103,20,3,sedentary,nudge,0.0
104,20,4,sedentary,nudge,0.0
105,21,0,sedentary,idle,0.0
106,21,1,sedentary,nudge,0.0
107,21,2,sedentary,nudge,1.0
108,21,3,active,nudge,1.0
109,21,4,active,idle,0.0
110,22,0,sedentary,nudge,0.0
111,22,1,sedentary,idle,0.0
112,22,2,sedentary,nudge,0.0
113,22,3,sedentary,nudge,0.0
114,22,4,sedentary,nudge,1.0
115,23,0,active,nudge,0.0
116,23,1,sedentary,nudge,0.0
117,23,2,sedentary,nudge,0.0
118,23,3,sedentary,nudge,0.0
119,23,4,sedentary,idle,0.0
120,24,0,sedentary,nudge,0.0
121,24,1,sedentary,nudge,0.0
122,24,2,sedentary,idle,1.0
123,24,3,active,nudge,1.0
124,24,4,active,idle,1.0
125,25,0,active,nudge,1.0
126,25,1,active,idle,1.0
127,25,2,active,nudge,1.0
128,25,3,active,nudge,1.0
129,25,4,active,nudge,0.0
130,26,0,sedentary,nudge,1.0
131,26,1,active,idle,0.0
132,26,2,sedentary,nudge,0.0
133,26,3,sedentary,idle,0.0
134,26,4,sedentary,nudge,0.0
135,27,0,sedentary,nudge,1.0
136,27,1,active,nudge,0.0
137,27,2,sedentary,idle,0.0
138,27,3,sedentary,nudge,0.0
139,27,4,sedentary,nudge,1.0
140,28,0,active,nudge,1.0
141,28,1,active,idle,1.0
142,28,2,active,nudge,0.0
143,28,3,sedentary,nudge,0.0
144,28,4,sedentary,idle,0.0
145,29,0,sedentary,nudge,1.0
146,29,1,active,nudge,1.0
147,29,2,active,idle,1.0
148,29,3,active,nudge,1.0
149,29,4,active,nudge,1.0
150,30,0,active,nudge,0.0
151,30,1,sedentary,nudge,0.0
152,30,2,sedentary,nudge,1.0
153,30,3,active,idle,1.0
154,30,4,active,nudge,1.0
155,31,0,active,nudge,0.0
156,31,1,sedentary,nudge,1.0
157,31,2,active,idle,0.0
158,31,3,sedentary,nudge,0.0
159,31,4,sedentary,idle,0.0
160,32,0,sedentary,idle,0.0
161,32,1,sedentary,nudge,0.0
162,32,2,sedentary,nudge,1.0
163,32,3,active,nudge,1.0
164,32,4,active,nudge,0.0
165,33,0,sedentary,nudge,0.0
166,33,1,sedentary,idle,0.0
167,33,2,sedentary,idle,0.0
168,33,3,sedentary,nudge,0.0
169,33,4,sedentary,idle,0.0
170,34,0,sedentary,nudge,1.0
171,34,1,active,nudge,0.0
172,34,2,sedentary,nudge,1.0
